timestamp,steps,samples_seen,games,positions,loss,policy_loss,value_loss,top1,top3,puzzle_overall,puzzle_800-1200,puzzle_1200-1600,puzzle_1600-2000,puzzle_2000-2400,puzzle_2400-+
2026-07-10T09:09:28+00:00,131,33298,148,12048,6.795770567516948,6.398158505905506,0.795224153718283,0.0307,0.0664
2026-07-10T10:24:21+00:00,87,21923,60,4608,6.79163615843829,6.480189631966984,0.622892933733323,0.0391,0.0804
2026-07-11T05:24:27+00:00,120,30041,89,6672,6.758993128935496,6.32955942551295,0.8588674068450928,0.033,0.057,0.0608,0.025,0.0417,0.0458,0.0917,0.1
2026-07-11T21:36:20+00:00,134,33610,49,3965,6.657581840242658,6.298734937395368,0.7176937758922577,0.048,0.0808,0.0558,0.025,0.0292,0.0583,0.0917,0.075
2026-07-12T15:15:51+00:00,145,36211,37,2890,6.776275504719127,6.33193133094094,0.8886882554401051,0.0173,0.0311,0.0617,0.025,0.0375,0.0708,0.1083,0.0667
2026-07-12T16:46:25+00:00,263,66012,199,16225,6.557401509120546,6.20323029879866,0.708342464833424,0.0345,0.0734,0.0517,0.0292,0.0375,0.05,0.0792,0.0625
2026-07-12T21:36:23+00:00,357,89664,193,16801,6.3996955553690595,6.047366619110107,0.7046578710277875,0.0607,0.1089,0.0492,0.0125,0.0458,0.0708,0.0708,0.0458
2026-07-13T05:50:50+00:00,509,127996,198,16316,5.97994509236566,5.624399053639379,0.711092045594906,0.0822,0.1619,0.0508,0.0208,0.0417,0.0792,0.0583,0.0542
2026-07-13T09:14:00+00:00,568,142537,193,16001,5.8030545753345155,5.3706743424398855,0.8647604689263461,0.0838,0.1669,0.0642,0.0417,0.0625,0.0958,0.0458,0.075
2026-07-13T09:57:14+00:00,627,157420,194,16536,5.57935441550562,5.1872895208455745,0.7841298095250534,0.0805,0.1803,0.065,0.025,0.0542,0.0875,0.0958,0.0625
2026-07-13T13:02:29+00:00,656,164801,95,8201,5.419664777558426,5.04478436502917,0.7497608291691747,0.078,0.1793,0.0758,0.025,0.0542,0.1125,0.0792,0.1083
2026-07-13T17:23:02+00:00,796,200080,195,14838,5.0222776520927,4.649893535757965,0.7447681865602169,0.0984,0.2057,0.0792,0.0625,0.0792,0.0792,0.0792,0.0958
2026-07-13T21:40:56+00:00,935,235356,91,8314,4.632833194732666,4.266904886563619,0.7318566302458446,0.1107,0.2551,0.0842,0.0542,0.0625,0.1125,0.1125,0.0792
2026-07-14T03:58:51+00:00,989,249082,195,15251,4.767269258145933,4.382488550963225,0.7695613702138265,0.1141,0.2518,0.0792,0.0583,0.0917,0.0958,0.1042,0.0458
2026-07-14T05:12:14+00:00,1126,283460,197,14593,4.452788673914396,4.046963453292847,0.8116504183182349,0.1432,0.2796,0.0967,0.0458,0.0917,0.1125,0.1208,0.1125
2026-07-14T08:53:16+00:00,1193,300044,187,18213,4.290548775746272,3.9329458786891056,0.7152058087862455,0.1488,0.307,0.0883,0.0625,0.1042,0.0667,0.1208,0.0875
2026-07-14T12:00:14+00:00,1246,313432,200,14875,4.488526713173345,4.084064946984345,0.8089235559949335,0.1439,0.2892,0.1042,0.0833,0.0833,0.1167,0.1417,0.0958
2026-07-14T16:38:48+00:00,1421,357877,191,15935,4.2205702631097095,3.8477033774058023,0.7457337431740343,0.1325,0.2756,0.0983,0.0792,0.0667,0.0917,0.1417,0.1125
2026-07-14T21:42:37+00:00,1457,366997,104,10133,4.184302336639828,3.8145528501934476,0.7394989993837144,0.154,0.3119,0.0983,0.075,0.0875,0.0833,0.1292,0.1167
2026-07-15T05:12:20+00:00,1512,380673,31,2975,4.187193220311945,3.809874664653431,0.7546369595961138,0.1414,0.2727,0.0967,0.0708,0.0917,0.0875,0.125,0.1083
2026-07-15T08:58:17+00:00,1515,381069,3,256,4.153767108917236,3.731654644012451,0.844225287437439,0.28,0.48,0.0933,0.0708,0.0875,0.075,0.125,0.1083
2026-07-15T12:04:56+00:00,1568,394079,41,3432,4.208316051042997,3.8011284608107347,0.8143752836264097,0.1691,0.3294,0.1025,0.075,0.0917,0.0917,0.125,0.1292
2026-07-15T16:44:59+00:00,1600,402114,99,8927,4.232878662645817,3.844407193362713,0.7769429199397564,0.1749,0.3352,0.1025,0.0875,0.1,0.1083,0.1292,0.0875
2026-07-15T21:44:03+00:00,1625,408344,82,6922,4.040041055679321,3.6409863567352296,0.7981093549728393,0.1792,0.3223,0.0942,0.0542,0.075,0.0958,0.1375,0.1083
2026-07-16T05:19:01+00:00,1634,410479,32,2372,4.132376220491198,3.6786846584743924,0.9073830644289652,0.2068,0.3797,0.1,0.0708,0.0875,0.1042,0.1292,0.1083
2026-07-16T06:53:32+00:00,1662,417072,100,7114,4.184210942341731,3.7610302980129537,0.8463613001199869,0.1561,0.3108,0.0975,0.0875,0.0958,0.0708,0.125,0.1083
2026-07-16T08:59:03+00:00,1712,429859,182,14207,4.10795560836792,3.7215883255004885,0.7727345669269562,0.1824,0.3472,0.1025,0.0792,0.1083,0.1125,0.1083,0.1042
2026-07-16T12:05:58+00:00,1752,439775,98,8299,4.006661486625672,3.614614701271057,0.7840935945510864,0.1279,0.2907,0.0992,0.0875,0.0875,0.1083,0.1,0.1125
2026-07-16T16:41:02+00:00,1764,442395,13,870,4.298976540565491,3.847726285457611,0.9025005847215652,0.1724,0.3103,0.1,0.075,0.1083,0.0958,0.1167,0.1042
2026-07-16T21:49:36+00:00,1771,444015,24,1800,3.8966819558824812,3.588355098451887,0.6166536382266453,0.1889,0.3444,0.0917,0.0708,0.075,0.1083,0.1167,0.0875
2026-07-17T00:09:28+00:00,1821,456813,188,14220,4.069709448814392,3.6527331972122195,0.8339525306224823,0.1751,0.3516,0.0992,0.0833,0.0958,0.0958,0.1292,0.0917
2026-07-17T05:25:20+00:00,1845,462743,90,6588,3.992043673992157,3.5709192951520285,0.8422488197684288,0.1824,0.3374,0.1017,0.0875,0.1,0.1,0.1125,0.1083
2026-07-17T08:39:44+00:00,1899,475993,104,7270,3.98379071859213,3.535968908896813,0.8956436285605798,0.1788,0.3549,0.1108,0.1042,0.1375,0.0833,0.1125,0.1167
2026-07-17T11:55:16+00:00,1933,484417,95,7455,4.002373739525124,3.582812538853398,0.8391224697784141,0.1893,0.353,0.1008,0.0958,0.0917,0.0958,0.1292,0.0917
2026-07-17T16:35:15+00:00,1952,489010,22,2034,3.9604135155677795,3.5151700377464294,0.8904869705438614,0.1527,0.33,0.1033,0.0917,0.0875,0.1042,0.1375,0.0958
2026-07-17T21:38:09+00:00,1990,498624,99,8149,3.943222769375505,3.545363343995193,0.7957188548712895,0.1695,0.3059,0.1158,0.0833,0.1083,0.1208,0.1583,0.1083
2026-07-18T00:02:14+00:00,2031,508810,115,8429,3.9631911595662435,3.5191678682963055,0.888046536842982,0.1437,0.3314,0.1042,0.0708,0.0833,0.1083,0.1583,0.1
2026-07-18T05:07:27+00:00,2040,510966,25,2395,3.9723502529992,3.60913168059455,0.7264372838868035,0.2343,0.3891,0.105,0.1,0.1,0.0917,0.1375,0.0958
2026-07-18T11:32:25+00:00,2075,519223,91,7275,3.969542906834529,3.5473598058407125,0.8443662753471961,0.1458,0.2861,0.1183,0.0833,0.125,0.1125,0.15,0.1208
2026-07-18T16:10:39+00:00,2084,521303,16,1399,4.137481307983398,3.6394097805023193,0.9961431503295899,0.2086,0.3885,0.115,0.0875,0.1208,0.1167,0.1333,0.1167
2026-07-18T21:36:51+00:00,2098,524618,21,1675,3.9941911697387695,3.5870792865753174,0.814223716656367,0.1377,0.2874,0.1225,0.0833,0.1125,0.1333,0.1375,0.1458
2026-07-19T00:03:19+00:00,2178,544663,93,7538,3.807971636454264,3.4192095156069153,0.7775242703932302,0.178,0.3174,0.1192,0.0958,0.1125,0.1208,0.1375,0.1292
2026-07-19T05:33:54+00:00,2207,551935,100,8079,3.7931731980422447,3.3759834684174637,0.8343794325302387,0.1822,0.342,0.1192,0.1,0.1167,0.125,0.1417,0.1125
2026-07-19T08:56:50+00:00,2244,560950,18,1680,3.878016710281372,3.4343577226003013,0.8873180349667867,0.1964,0.3155,0.1158,0.0833,0.1083,0.1083,0.1625,0.1167
2026-07-19T11:39:21+00:00,2248,561654,9,622,3.777626355489095,3.3866841793060303,0.7818841934204102,0.1935,0.3871,0.1158,0.0792,0.1042,0.1167,0.1625,0.1167
2026-07-19T16:09:30+00:00,2276,568687,99,7814,4.010110012122563,3.5786708933966502,0.8628783055714199,0.2061,0.4059,0.1167,0.0708,0.1083,0.1167,0.1583,0.1292
2026-07-19T21:38:19+00:00,2305,575906,97,8021,3.785382131050373,3.37501100013996,0.8207422597654934,0.1646,0.3404,0.1233,0.0958,0.1042,0.1167,0.1792,0.1208
2026-07-20T00:06:40+00:00,2320,579282,9,683,4.078612327575684,3.653918663660685,0.8493875662485758,0.1618,0.3676,0.1083,0.0958,0.1083,0.1083,0.1167,0.1125
2026-07-20T05:51:36+00:00,2336,583480,9,780,3.7672709623972573,3.34881059328715,0.8369206786155701,0.2308,0.3974,0.1133,0.1042,0.1042,0.0875,0.1458,0.125
2026-07-20T09:44:35+00:00,2404,600233,12,1096,3.925703763961792,3.3848594427108765,1.081688642501831,0.1376,0.3303,0.1133,0.0667,0.1208,0.1042,0.1542,0.1208
2026-07-20T12:36:06+00:00,2445,610369,28,2116,3.8612585961818695,3.41051784157753,0.9014814794063568,0.1611,0.3175,0.1192,0.0875,0.1208,0.1,0.15,0.1375
2026-07-20T16:44:23+00:00,2451,611698,17,1476,3.934113025665283,3.5071487029393515,0.8539286255836487,0.1837,0.3469,0.115,0.0667,0.1542,0.1083,0.1333,0.1125
2026-07-20T21:53:46+00:00,2468,615654,28,2356,3.855195813708835,3.4407325055864124,0.8289266758494906,0.183,0.4043,0.1175,0.0917,0.1167,0.1042,0.15,0.125
2026-07-21T00:06:15+00:00,2496,622606,98,7724,3.8839652708598544,3.446613780089787,0.8747029921838215,0.1826,0.3834,0.115,0.1042,0.1083,0.1125,0.1542,0.0958
